library;function;block_name;op_block_string;operation_title;operation_symbol;icon_filename;input_socket_types;output_socket_types
numpy;add;Add;OP_NODE_NUMPY_ADD;Addition;+;plus_math_100;(Number,Number);(Number)
numpy;subtract;Subtract;OP_NODE_NUMPY_SUBTRACT;Subtraction;-;subtract_100;(Number,Number);(Number)
numpy;multiply;Multiply;OP_NODE_NUMPY_MULTIPLY;Multiplication;*;multiply_100;(Number,Number);(Number)
numpy;true_divide;TrueDivide;OP_NODE_NUMPY_DIVIDE;Division;/;divide_100;(Number,Number);(Number)
numpy;mod;Mod;OP_NODE_NUMPY_MODULO;Modulo;%;percentage_100;(Number,Number);(Number)
numpy;power;Power;OP_NODE_NUMPY_POWER;Power;**;square_number_100;(Number,Number);(Number)
numpy;less;LessThan;OP_NODE_NUMPY_LESS;Less;<;less_than_100;(Number,Number);(Number)
numpy;less_equal;LessEqual;OP_NODE_LESS_NUMPY_EQUAL;Less or equal;<=;less_or_equal_100;(Number,Number);(Number)
numpy;equal;Equal;OP_NODE_NUMPY_EQUAL;Equal;==;equal_sign_100;(Number,Number);(Number)
numpy;not_equal;NotEqual;OP_NODE_NUMPY_NOT_EQUAL;Not equal;==;not_equal_sign_100;(Number,Number);(Number)
numpy;greater;Greater;OP_NODE_NUMPY_GREATER;Greater;>;more_than_100;(Number,Number);(Number)
numpy;greater_equal;GreaterEqual;OP_NODE_NUMPY_GREATER_EQUAL;Greater or equal;>=;more_or_equal_100;(Number,Number);(Number)
numpy;isclose;IsClose;OP_NODE_NUMPY_IS_CLOSE;Is close;>=;approximately_equal_100;(Number,Number);(Number)
numpy;floor_divide;FloorDivide;OP_NODE_NUMPY_FLOOR_DIVIDE;Floor div.;//;floor_100;(Number,Number);(Number)
numpy;absolute;Absolute;OP_NODE_NUMPY_ABSOLUTE;Abs. value;;absolute_100;(Number);(Number)
numpy;reciprocal;Reciprocal;OP_NODE_NUMPY_RECIPROCAL;Reciprocal;;reciprocal_100;(Number);(Number)
numpy;positive;Positive;OP_NODE_NUMPY_POSITIVE;Pos. value;;plus_math_100;(Number);(Number)
numpy;negative;Negative;OP_NODE_NUMPY_NEGATIVE;Neg. value;;subtract_100;(Number);(Number)
numpy;sqrt;Sqrt;OP_NODE_NUMPY_SQRT;Square root;;sqrt_100;(Number);(Number)
numpy;square;Square;OP_NODE_NUMPY_SQUARE;Square;;square_100;(Number);(Number)
numpy;sign;Sign;OP_NODE_NUMPY_SIGN;Sign;;sign_100;(Number);(Number)
numpy;maximum;Maximum;OP_NODE_NUMPY_MAX;Maximum;;max_100;(Number, Number);(Number)
numpy;minimum;Minimum;OP_NODE_NUMPY_MIN;Minimum;;min_100;(Number, Number);(Number)
numpy;exp;Exp;OP_NODE_NUMPY_EXP;Exponential;;exp_100;(Number);(Number)
numpy;log;Log;OP_NODE_NUMPY_LOG;Logarithm;;log_100;(Number);(Number)
numpy;log2;Log2;OP_NODE_NUMPY_LOG2;Logarithm 2;;log2_100;(Number);(Number)
numpy;log10;Log10;OP_NODE_NUMPY_LOG10;Logarithm 10;;log10_100;(Number);(Number)
numpy;sin;Sin;OP_NODE_NUMPY_SIN;Sine;;sin_100;(Number);(Number)
numpy;cos;Cos;OP_NODE_NUMPY_COS;Cosine;;cos_100;(Number);(Number)
numpy;tan;Tan;OP_NODE_NUMPY_TAN;Tangent;;tan_100;(Number);(Number)
numpy;arcsin;Arcsin;OP_NODE_ARCSIN;Arcsine;;arcsin_100;(Number);(Number)
numpy;arccos;Arccos;OP_NODE_NUMPY_ARCCOS;Arccosine;;arccos_100;(Number);(Number)
numpy;arctan;Arctan;OP_NODE_NUMPY_ARCTAN;Arctangent;;arctan_100;(Number);(Number)
numpy;arctan2;Arctan2;OP_NODE_NUMPY_ARCTAN2;Arctan2;;arctan_100;(Number);(Number)
numpy;hypot;Hypot;OP_NODE_NUMPY_HYPOT;Hypotenuse;;hypot_100;(Number);(Number)
numpy;deg2rad;Deg2Rad;OP_NODE_NUMPY_DEG2RAD;Deg to rad;;deg2rad_100;(Number);(Number)
numpy;rad2deg;Rad2Deg;OP_NODE_NUMPY_RAD2DEG;Rad to deg;;rad2deg_100;(Number);(Number)
numpy;sinh;Sinh;OP_NODE_NUMPY_SINH;Sinh;;sinh_100;(Number);(Number)
numpy;cosh;Cosh;OP_NODE_NUMPY_COSH;Cosh;;cosh_100;(Number);(Number)
numpy;tanh;Tanh;OP_NODE_NUMPY_TANH;Tanh;;tanh_100;(Number);(Number)
numpy;arcsinh;Arcsinh;OP_NODE_NUMPY_ARCSINH;Arcsinh;;arcsinh_100;(Number);(Number)
numpy;arccosh;Arccosh;OP_NODE_NUMPY_ARCCOSH;Arccosh;;arccosh_100;(Number);(Number)
numpy;arctanh;Arctanh;OP_NODE_NUMPY_ARCTANH;Arctanh;;arctanh_100;(Number);(Number)
numpy;around;Around;OP_NODE_NUMPY_AROUND;Around;;around_100;(Number);(Number)
numpy;rint;Rint;OP_NODE_NUMPY_RINT;Round integer;;round_100;(Number);(Number)
numpy;ceil;Ceil;OP_NODE_NUMPY_CEIL;Ceiling;;ceil_100;(Number);(Number)
numpy;trunc;Trunc;OP_NODE_NUMPY_TRUNC;Truncation;;trunc_100;(Number);(Number)
